date	bytes_sent
2025-08-13	22757042
2025-08-14	145576496
2025-08-15	112525820
2025-08-19	130622952
2025-08-21	253067904
2025-08-26	625836334
2025-08-27	1824595764
2025-08-28	240593646557
2025-08-31	76380983524
2025-09-02	11080974
2025-09-03	91541944861
2025-09-04	130798701532
2025-09-05	22898939358
2025-09-08	51415156
2025-09-10	359861527
2025-09-15	284407560015
2025-09-17	45635548034
2025-09-18	104994422249
2025-09-19	47962483722
2025-09-20	19821790980
2025-09-24	6024956984
2025-09-26	20223826
2025-09-29	17724695574
2025-09-30	957547372
2025-10-01	16061314685
2025-10-02	1105168592
2025-10-03	90178540
2025-10-06	14556184579
2025-10-07	14686748988
2025-10-08	82883502
2025-10-10	10800
2025-10-11	40666451
2025-10-13	1750838
2025-10-15	24785887
2025-10-17	11753984
2025-10-18	2938496
2025-10-19	2938496
2025-10-20	11570328
2025-10-21	920940069
2025-10-22	3122152
2025-10-23	6427960
2025-10-24	1836560
2025-10-25	1285592
2025-10-26	1469248
2025-10-27	31979727
2025-10-28	4407744
2025-10-29	65791255
2025-10-30	1285592
2025-10-31	2020216
2025-11-01	1469248
2025-11-02	1469248
2025-11-03	1469248
2025-11-04	496611000648
2025-11-05	2938496
2025-11-06	4407744
2025-11-07	37845359
2025-11-08	3673120
2025-11-09	1469248
2025-11-10	29129042
2025-11-11	9182800
2025-11-12	500859240
2025-11-13	7346240
2025-11-14	3463355
2025-11-15	367312
2025-11-17	750791089798
2025-11-18	12672264
2025-11-19	19651192
2025-11-20	6244304
2025-11-21	6795272
2025-11-22	3305808
2025-11-23	7529896
2025-11-24	14868512
2025-11-25	12672264
2025-11-26	12121296
2025-11-27	1285592
2025-11-28	2938496
2025-11-29	1652904
2025-12-02	142084531
